Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
9/30/2016,61639,10025,NY,New York,New York,New York,0,1004200,-0.009567018,-0.040328746,-0.087837224,0.064578056,0.029179177,2016-03,2016-Q1,1103200,-0.089738941,2015-06
9/30/2016,84654,60657,IL,Chicago,Cook,Chicago,1,318300,0.007916403,0.023143684,0.029097963,0.037020028,9.42996E-05,2007-09,2007-Q3,324300,-0.018501388,2006-12
9/30/2016,61637,10023,NY,New York,New York,New York,2,1032800,0.008396798,0.00662768,-0.085127115,0.034284947,0.017313224,2015-09,2015-Q3,1128900,-0.085127115,2015-06
9/30/2016,84616,60614,IL,Chicago,Cook,Chicago,3,385200,0.007322176,0.015019763,0.040237645,0.03361932,0.000286015,2007-09,2007-Q3,398100,-0.032403919,2006-11
9/30/2016,93144,79936,TX,El Paso,El Paso,El Paso,4,113600,0.002647838,0.017921147,0.02250225,0.002483181,-0.003623894,2007-12,2007-Q4,131000,-0.132824427,2006-08
9/30/2016,84640,60640,IL,Chicago,Cook,Chicago,5,200400,0.006024096,0.025063939,0.025588536,0.033207696,-0.015381059,2007-02,2007-Q1,237600,-0.156565657,2003-04
9/30/2016,91733,77084,TX,Houston,Harris,Houston,6,157600,0.001270648,0.020725389,0.091412742,0.077519889,0.023118335,2016-09,2016-Q3,157600,0,2016-09
9/30/2016,97564,94109,CA,San Francisco,San Francisco,San Francisco,7,1069900,-0.008525623,-0.023011597,-0.042337988,0.104635961,0.030091397,2016-02,2016-Q1,1118000,-0.043023256,2015-06
9/30/2016,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,8,298900,0.007414897,0.025737817,0.101326455,0.095195667,0.041362325,2016-09,2016-Q3,298900,0,2016-09
9/30/2016,62037,11226,NY,New York,Kings,New York,9,564700,-0.002649241,-0.021656272,0.047486552,0.092220888,0.032104549,2016-06,2016-Q2,577200,-0.021656272,2016-05
9/30/2016,91940,77449,TX,Houston,Harris,Cypress,10,160600,0.007528231,0.029487179,0.088813559,0.085419619,0.020347445,2016-09,2016-Q3,160600,0,2016-09
