Date,RegionID,RegionName,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
9/30/2016,102001,United States,0,189400,0.005307856,0.015549598,0.055153203,0.043063919,-0.002909597,2007-04,2007-Q2,196600,-0.036622584,2006-02
9/30/2016,9,California,1,472100,0.005537806,0.017237664,0.058045719,0.091880118,-0.011128164,2006-06,2006-Q2,531900,-0.112427148,2005-04
9/30/2016,54,Texas,2,160200,0.006281407,0.018436109,0.0831643,0.057556731,0.022373888,2016-09,2016-Q3,160200,0,2016-09
9/30/2016,43,New York,3,267600,-0.000373552,0.001122334,0.025287356,0.011523958,,2007-08,2007-Q3,333500,-0.197601199,
9/30/2016,14,Florida,4,194200,0.008307373,0.025884839,0.09223847,0.088652066,-0.026026332,2006-07,2006-Q3,254100,-0.235733963,2005-03
9/30/2016,21,Illinois,5,164100,0.006131208,0.016728625,0.0485623,0.021974723,-0.020564771,2007-03,2007-Q1,203500,-0.193611794,2003-05
9/30/2016,47,Pennsylvania,6,155500,0.004521964,0.010396361,0.028439153,0.01422054,0.003674467,2016-09,2016-Q3,155500,0,2016-09
9/30/2016,44,Ohio,7,122900,0.004905969,0.013190437,0.038006757,0.025426461,-0.002882965,2006-05,2006-Q2,126900,-0.031520883,2004-09
9/30/2016,30,Michigan,8,126800,0.006349206,0.018473896,0.061087866,0.070489824,-0.009144224,2005-12,2005-Q4,142700,-0.111422565,2002-02
9/30/2016,16,Georgia,9,149900,0.005365526,0.017651052,0.068424804,0.049376341,-0.00410842,2006-11,2006-Q4,156900,-0.044614404,2005-09
9/30/2016,36,North Carolina,10,154800,0.005194805,0.015081967,0.047361299,0.022797729,0.006492063,2016-09,2016-Q3,154800,0,2016-09
9/30/2016,40,New Jersey,11,294100,0.003411805,0.005813953,0.026885475,0.014555446,-0.021980735,2006-07,2006-Q3,367600,-0.199945593,2004-07
