Unified School District Name,Unified School District Code,Washington School District Code,Educational Service District Code,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2016,Percent Change in Population 2010 to 2016,SAEP Version
Aberdeen School District,30,14005,113,20054,20368,20386,20315,20364,20447,20537,20537,20480,20430,20368,20341,20364,20323,20317,20229,20172,314,1.57%,-196,,"September 21, 2016"
Adna School District,60,21226,113,2866,2956,3045,3115,3201,3289,3403,3505,3598,3675,3736,3791,3799,3795,3805,3838,3854,870,30.37%,118,3.15%,"September 21, 2016"
Almira School District,90,22017,101,513,515,509,499,502,500,499,500,500,495,489,490,490,490,485,484,477,-24,(  4.760%),-12,,"September 21, 2016"
Anacortes School District,150,29103,189,18643,18790,18999,19059,19309,19494,19794,20030,20223,20356,20332,20447,20561,20716,20867,21038,21435,1689,9.06%,1103,5.42%,"September 21, 2016"
Arlington School District,240,31016,189,23682,24331,24964,25567,26096,26776,27547,28254,28832,29266,29735,29799,29904,30268,30448,30928,31319,6053,25.56%,1584,5.33%,"September 21, 2016"
Asotin-Anatone School District,280,2420,123,2859,2897,2920,2952,2985,3031,3088,3146,3185,3218,3245,3249,3263,3296,3327,3340,3391,386,13.49%,146,4.49%,"September 21, 2016"
Auburn School District,300,17408,121,68680,70178,71822,73015,74296,75646,77660,79487,81049,82493,84053,84558,85136,87174,88787,89961,91831,15373,22.38%,7778,9.25%,"September 21, 2016"
Bainbridge Island School District,330,18303,121,20308,20583,20927,21276,21497,21511,21991,22399,22718,22939,23025,23030,23090,23190,23360,23390,23760,2717,13.38%,735,3.19%,"September 21, 2016"
Battle Ground School District,380,6119,112,47172,48899,51279,53261,55541,57533,59662,61472,63047,64357,65182,65834,66381,67244,68471,70354,72777,18010,38.18%,7595,11.65%,"September 21, 2016"
Bellevue School District,390,17405,121,113798,114754,115945,116389,116974,117659,119380,120819,121879,122814,124003,124975,126227,127855,129988,130772,135329,10205,8.97%,11326,9.13%,"September 21, 2016"
Bellingham School District,420,37501,189,85903,87896,89428,90186,92233,94514,96998,99524,100607,101530,102121,102258,102569,103482,103910,104806,105959,16218,18.88%,3838,3.76%,"September 21, 2016"
Benge School District,450,1122,101,87,84,81,77,74,71,67,64,60,57,54,55,54,54,55,53,52,-33,( 37.955%),-2,,"September 21, 2016"
Bethel School District,480,27403,121,79736,81706,84065,86314,88672,91215,94243,96765,98619,99860,100548,102659,104746,106466,108187,109983,112227,20812,26.10%,11679,11.62%,"September 21, 2016"
Bickleton School District,510,20203,105,400,397,392,389,387,383,382,379,375,370,366,374,377,377,380,375,375,-34,(  8.511%),9,2.56%,"September 21, 2016"
Blaine School District,570,37503,189,11358,11870,12320,12661,13182,13739,14329,14930,15314,15672,15974,16179,16386,16545,16792,17030,17251,4616,40.64%,1277,7.99%,"September 21, 2016"
Boistfort School District,630,21234,113,865,869,872,870,873,876,886,893,897,897,894,904,898,897,885,890,895,29,3.38%,1,0.13%,"September 21, 2016"
Bremerton School District,660,18100,114,43575,43721,44012,44312,44342,43953,44516,44929,45159,45193,44966,46051,46850,45126,45471,46537,47483,1391,3.19%,2517,5.6%,"September 21, 2016"
Brewster School District,690,24111,171,4437,4454,4459,4459,4470,4477,4520,4500,4518,4556,4566,4561,4599,4638,4680,4723,4721,129,2.90%,155,3.4%,"September 21, 2016"
Bridgeport School District,720,9075,171,2837,2849,2846,2895,2922,2958,3038,3099,3166,3226,3252,3252,3267,3286,3310,3317,3356,415,14.61%,104,3.21%,"September 21, 2016"
Brinnon School District,750,16046,114,1197,1203,1213,1212,1219,1235,1246,1253,1260,1256,1250,1271,1291,1286,1316,1331,1346,53,4.42%,96,7.69%,"September 21, 2016"
Burlington-Edison School District,780,29100,189,18152,18410,18729,18902,19262,19558,19971,20320,20625,20869,20952,21012,21037,21042,21099,21293,21801,2800,15.43%,849,4.05%,"September 21, 2016"
Camas School District,810,6117,112,18199,19181,20422,21508,22718,23814,24968,25990,26911,27716,28306,28622,29013,29426,30085,30623,31327,10107,55.54%,3021,10.67%,"September 21, 2016"
Cape Flattery School District,840,5401,114,3395,3366,3344,3315,3299,3290,3297,3285,3268,3233,3197,3199,3202,3188,3161,3186,3201,-198,(  5.842%),4,0.14%,"September 21, 2016"
Carbonado School District,870,27019,121,793,799,808,815,824,835,849,859,863,862,856,856,846,847,846,852,875,63,7.89%,19,2.28%,"September 21, 2016"
Cascade School District,950,4228,171,9401,9374,9379,9330,9336,9402,9466,9522,9597,9586,9560,9574,9711,9737,9786,9941,10160,159,1.69%,600,6.28%,"September 21, 2016"
Cashmere School District,960,4222,171,7203,7195,7211,7184,7201,7264,7325,7381,7451,7454,7446,7409,7454,7456,7338,7383,7475,243,3.37%,29,0.4%,"September 21, 2016"
Castle Rock School District,990,8401,112,9350,9422,9462,9512,9549,9615,9720,9808,9883,9906,9891,9909,10008,10036,10052,10142,10191,541,5.78%,300,3.04%,"September 21, 2016"
Centerville School District,1050,20215,112,567,563,558,553,551,546,545,541,536,530,524,535,534,542,542,540,540,-43,(  7.629%),16,2.99%,"September 21, 2016"
